"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Grant","Grant County  Fire Dist #11 Proposition No. 1 RESOLUTION PROVIDING FOR THE SUBMISSION OF LEVY","Rejected","","108","38.0282","Fire"
"Grant","Grant County  Fire Dist #11 Proposition No. 2 EMERGENCY MEDICAL CARE AND SERVICE LEVY","Yes","","204","70.8333","Fire"
"Grant","Grant County  Fire Dist #11 Proposition No. 2 EMERGENCY MEDICAL CARE AND SERVICE LEVY","No","","84","29.1667","Fire"
"Grant","Moses Lake CITY COUNCIL MEMBER #01","Dean Hankins","","751","32.982","City/Town"
"Grant","Moses Lake CITY COUNCIL MEMBER #01","Todd Voth","","741","32.5428","City/Town"
"Grant","Moses Lake CITY COUNCIL MEMBER #01","Michael Riggs","","785","34.4752","City/Town"
"Grant","Quincy MAYOR","Scott B. Lybbert","","355","39.4007","City/Town"
"Grant","Quincy MAYOR","Ricardo Ruesga","","89","9.8779","City/Town"
"Grant","Quincy MAYOR","Ricardo (Ric) Garces","","155","17.2031","City/Town"
"Grant","Quincy MAYOR","Paul D Worley","","302","33.5183","City/Town"
"Grant","Soap Lake COUNCIL MEMBER #04","Robert L Brown","","90","36.2903","City/Town"
"Grant","Soap Lake COUNCIL MEMBER #04","Judith E Gorman","","69","27.8226","City/Town"
"Grant","Soap Lake COUNCIL MEMBER #04","Debra Parmeter Still","","89","35.8871","City/Town"
"Grays Harbor","Hospital District 1 Hospital 1 Position 1","Otis Leathers","","119","9.2391","Public Hospital"
"Grays Harbor","Hospital District 1 Hospital 1 Position 1","Georgette Beerbower Hiles","","624","48.4472","Public Hospital"
"Grays Harbor","Hospital District 1 Hospital 1 Position 1","Carolyn Wescott","","545","42.3137","Public Hospital"
"Grays Harbor","Aberdeen Council Ward 1 Position 2","Dick Murchy","","70","33.8164","City/Town"
"Grays Harbor","Aberdeen Council Ward 1 Position 2","Robert J Rodgers","","38","18.3575","City/Town"
"Grays Harbor","Aberdeen Council Ward 1 Position 2","Tawni Andrews","","99","47.8261","City/Town"
